Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0UV5zxRMz6AO4ZwUOZNIKI,"Where'd All the Time Go?","Shame, Shame (Deluxe Edition)","Dr. Dog",2010-11-02,234800,77,11146410335,2025-01-25T13:59:51Z,"","Anti/Epitaph",0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,4
3y1EzRl5UEQxxd1f6Bv2aN,"When I'm Small","Eyelid Movies","Phantogram",2010,249066,62,11146410335,2025-01-25T13:59:51Z,"indietronica","Barsuk Records",0.646,0.759,10,-4.34,1,0.0314,0.189,0.0977,0.103,0.423,91.999,4
1BeNZQORyV0jEF2toAmrsA,"Don't Move","Nightlife","Phantogram",2011,258186,57,11146410335,2025-01-25T13:59:51Z,"indietronica","Barsuk Records",0.56,0.64,5,-5.209,0,0.0318,0.0000732,0.00699,0.201,0.474,99.989,4
6slWUMiyoNNWcQGu6tkTlH,"Leni (Crystal Castles vs GoodBooks)","Control Freaks (The Remixes)","GoodBooks,Crystal Castles",2021-11-18,256398,67,11146410335,2025-01-25T13:59:51Z,"witch house,electroclash,new rave,indietronica,alternatív dance","GoodBooks",0.642,0.641,6,-6.619,0,0.0312,0.0627,0.00289,0.0627,0.55,119.938,4
4vsoWZcvtvSsE0OiVvDDvX,"Harness Your Hopes - B-side","Brighten the Corners: Nicene Creedence Ed.","Pavement",2008-12-09,206946,69,11146410335,2025-01-25T13:59:51Z,"alternatív rock,indie","Matador",0.604,0.573,2,-7.804,1,0.037,0.289,0.0406,0.133,0.581,107.862,4
69Kzq3FMkDwiSFBQzRckFD,"This Night Has Opened My Eyes - 2011 Remaster","Hatful of Hollow","The Smiths",1984,221533,70,11146410335,2025-01-25T13:59:51Z,"új hullám,madchester,jangle pop","WM UK",0.696,0.628,2,-8.407,1,0.0274,0.00102,0.428,0.272,0.701,100.038,4
260Ub1Yuj4CobdISTOBvM9,"Wet Dream","Wet Leg","Wet Leg",2022-04-08,140080,65,11146410335,2025-01-25T13:59:51Z,"indie rock,indie","Domino Recording Co",0.721,0.701,2,-5.941,1,0.0306,0.000927,0.026,0.234,0.892,130.091,3
6UFivO2zqqPFPoQYsEMuCc,"Bags","Immunity","Clairo",2019-08-02,260519,77,11146410335,2025-01-25T13:59:51Z,"bedroom pop","FADER Label",0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,4
13TryBWhlKhLtzivqudzbn,"Break for Lovers","Headroom","Men I Trust,Helena Deland",2015-06-30,183673,43,11146410335,2025-01-25T13:59:51Z,"bedroom pop,indie pop","Men I Trust",0.858,0.326,11,-11.496,0,0.0784,0.0277,0.0614,0.0798,0.813,97.995,4
5d7NvMz2SgyEkvRow7us99,"Lovefool","Amo XO","No Vacation",2015-04-06,130961,53,11146410335,2025-01-25T13:59:51Z,"bedroom pop,dream pop","No Vacation",0.819,0.687,2,-5.967,0,0.0363,0.0549,0.0573,0.0799,0.961,104.019,4
4k6Uh1HXdhtusDW5y8Gbvy,"Bad Habit","Gemini Rights","Steve Lacy",2022-07-15,232066,81,11146410335,2025-01-25T13:59:51Z,"","L-M Records/RCA Records",0.686,0.494,1,-7.093,1,0.0355,0.613,0.000058,0.402,0.7,168.946,4
5cIWkWH6xVdEllQ9ksuu2E,"Sun","Beacon","Two Door Cinema Club",2012-09-03,187720,57,11146410335,2025-01-25T13:59:51Z,"indie,indietronica","Kitsune",0.647,0.533,4,-5.464,0,0.0281,0.0112,0.000277,0.106,0.639,96.981,4
20Co6wsSQkqMtZaQxtjz8a,"Echolalia","Praise A Lord Who Chews But Which Does Not Consume; (Or Simply, Hot Between Worlds)","Yves Tumor",2023-03-17,180146,49,11146410335,2025-01-25T13:59:51Z,"","Warp Records",0.747,0.824,0,-6.783,0,0.0536,0.044,0.817,0.19,0.745,130,4
